,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IMPORTANT:
 1->10->2->3->-4>...",,Revisit - new,,,Annotator,,,,,,,,,,,,,,,,,,,,,,,,Revisit
"At the end of the video, which position is the cup (that contains the smaller cup) in? Left, Center, or Right? Answer from the viewer's perspective.
 
 (A) Right
 (B) Center
 (C) Left",/nas2/benchmarks/vpi/real/processed/shell_game/0007_pt1.mp4,shell_game,No,Location,Atmoic,Sihyun,"Occlusion, Homogeneity",Continuous location,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"At the end of the video, which position is the cup (that contains the smaller cup) in? Left, Center, or Right? Answer from the viewer's perspective.
 
 (A) Right
 (B) Center
 (C) Left",/nas2/benchmarks/vpi/real/processed/shell_game/0008_pt1.mp4,shell_game,No,Location,Atmoic,Sihyun,"Occlusion, Homogeneity",Continuous location,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"At the end of the video, which position is the cup (that contains the smaller cup) in? Left, Center, or Right? Answer from the viewer's perspective.
 
 (A) Right
 (B) Left
 (C) Center",/nas2/benchmarks/vpi/real/processed/shell_game/0009_pt1.mp4,shell_game,No,Location,Atmoic,Sihyun,"Occlusion, Homogeneity",Continuous location,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"At the end of the video, which position is the cup (that contains the smaller cup) in? Left, Center, or Right? Answer from the viewer's perspective.
 
 (A) Right
 (B) Center
 (C) Left",/nas2/benchmarks/vpi/real/processed/shell_game/0010_pt1.mp4,shell_game,No,Location,Atmoic,Sihyun,"Occlusion, Homogeneity",Continuous location,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What word was typed on the keyboard?
 
 (A) interpole
 (B) incapable
 (C) pineapple
 (D) engrapple",/nas2/benchmarks/vpi/real/processed/keyboard/0001_pt1.mp4,keyboard,No,Location,Sequence,Sihyun,"Symbolic decoding, Action ambiguity",Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What word was typed on the keyboard?
 
 (A) questman
 (B) egestion
 (C) question
 (D) adustion",/nas2/benchmarks/vpi/real/processed/keyboard/0002_pt1.mp4,keyboard,No,Location,Sequence,Sihyun,"Symbolic decoding, Action ambiguity",Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What word was typed on the keyboard?
 
 (A) burtonize
 (B) anatomize
 (C) castorite
 (D) customize",/nas2/benchmarks/vpi/real/processed/keyboard/0003_pt1.mp4,keyboard,No,Location,Sequence,Sihyun,"Symbolic decoding, Action ambiguity",Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What word was typed on the keyboard?
 
 (A) christiad
 (B) christian
 (C) chrismary
 (D) christmas",/nas2/benchmarks/vpi/real/processed/keyboard/0004_pt1.mp4,keyboard,No,Location,Sequence,Sihyun,"Symbolic decoding, Action ambiguity",Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What word was typed on the keyboard?
 
 (A) spaniard
 (B) standard
 (C) staggard
 (D) standage",/nas2/benchmarks/vpi/real/processed/keyboard/0005_pt1.mp4,keyboard,No,Location,Sequence,Sihyun,"Symbolic decoding, Action ambiguity",Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What word was typed on the keyboard?
 
 (A) acrylate
 (B) airedale
 (C) airplane
 (D) warplane",/nas2/benchmarks/vpi/real/processed/keyboard/0006_pt1.mp4,keyboard,No,Location,Sequence,Sihyun,"Symbolic decoding, Action ambiguity",Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What word was typed on the keyboard?
 
 (A) monitor
 (B) donator
 (C) genitor
 (D) ignitor",/nas2/benchmarks/vpi/real/processed/keyboard/0007_pt1.mp4,keyboard,No,Location,Sequence,Sihyun,"Symbolic decoding, Action ambiguity",Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What word was typed on the keyboard?
 
 (A) stairless
 (B) staircase
 (C) stairwise
 (D) smearcase",/nas2/benchmarks/vpi/real/processed/keyboard/0008_pt1.mp4,keyboard,No,Location,Sequence,Sihyun,"Symbolic decoding, Action ambiguity",Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What word was typed on the keyboard?
 
 (A) chinking
 (B) bricking
 (C) blinking
 (D) drinking",/nas2/benchmarks/vpi/real/processed/keyboard/0009_pt1.mp4,keyboard,No,Location,Sequence,Sihyun,"Symbolic decoding, Action ambiguity",Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What word was typed on the keyboard?
 
 (A) imperence
 (B) deference
 (C) inherence
 (D) inference",/nas2/benchmarks/vpi/real/processed/keyboard/0010_pt1.mp4,keyboard,No,Location,Sequence,Sihyun,"Symbolic decoding, Action ambiguity",Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What text message is encoded by the Morse light flashes? Use this Morse mapping: A=.-, B=-..., C=-.-., D=-.., E=., F=..-., G=--., H=...., I=.., J=.---, K=-.-, L=.-.., M=--, N=-., O=---, P=.--., Q=--.-, R=.-., S=..., T=-, U=..-, V=...-, W=.--, X=-..-, Y=-.--, Z=--.., 0=-----, 1=.----, 2=..---, 3=...--, 4=....-, 5=....., 6=-...., 7=--..., 8=---.., 9=----., .=.-.-.-, ,=--..--, ?=..--.., '=.----., !=-.-.--, /=-..-., (=-.--., )=-.--.-, &=.-..., :=---..., ;=-.-.-., ==-...-, +=.-.-., -=-....-, _=..--.-, ""=.-..-., $=...-..-, @=.--.-.
 
 (A) APPLE
 (B) AMPLE
 (C) APPLY
 (D) ABELE",/nas2/benchmarks/vpi/real/processed/morse/0001_pt1.mp4,morse,No,Attribute,Sequence,Sihyun,Symbolic decoding,Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What text message is encoded by the Morse light flashes? Use this Morse mapping: A=.-, B=-..., C=-.-., D=-.., E=., F=..-., G=--., H=...., I=.., J=.---, K=-.-, L=.-.., M=--, N=-., O=---, P=.--., Q=--.-, R=.-., S=..., T=-, U=..-, V=...-, W=.--, X=-..-, Y=-.--, Z=--.., 0=-----, 1=.----, 2=..---, 3=...--, 4=....-, 5=....., 6=-...., 7=--..., 8=---.., 9=----., .=.-.-.-, ,=--..--, ?=..--.., '=.----., !=-.-.--, /=-..-., (=-.--., )=-.--.-, &=.-..., :=---..., ;=-.-.-., ==-...-, +=.-.-., -=-....-, _=..--.-, ""=.-..-., $=...-..-, @=.--.-.
 
 (A) ANANAS
 (B) BANABA
 (C) ANANDA
 (D) BANANA",/nas2/benchmarks/vpi/real/processed/morse/0002_pt1.mp4,morse,No,Attribute,Sequence,Sihyun,Symbolic decoding,Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What text message is encoded by the Morse light flashes? Use this Morse mapping: A=.-, B=-..., C=-.-., D=-.., E=., F=..-., G=--., H=...., I=.., J=.---, K=-.-, L=.-.., M=--, N=-., O=---, P=.--., Q=--.-, R=.-., S=..., T=-, U=..-, V=...-, W=.--, X=-..-, Y=-.--, Z=--.., 0=-----, 1=.----, 2=..---, 3=...--, 4=....-, 5=....., 6=-...., 7=--..., 8=---.., 9=----., .=.-.-.-, ,=--..--, ?=..--.., '=.----., !=-.-.--, /=-..-., (=-.--., )=-.--.-, &=.-..., :=---..., ;=-.-.-., ==-...-, +=.-.-., -=-....-, _=..--.-, ""=.-..-., $=...-..-, @=.--.-.
 
 (A) PHONY
 (B) PHENE
 (C) PHONO
 (D) PHONE",/nas2/benchmarks/vpi/real/processed/morse/0003_pt1.mp4,morse,No,Attribute,Sequence,Sihyun,Symbolic decoding,Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What text message is encoded by the Morse light flashes? Use this Morse mapping: A=.-, B=-..., C=-.-., D=-.., E=., F=..-., G=--., H=...., I=.., J=.---, K=-.-, L=.-.., M=--, N=-., O=---, P=.--., Q=--.-, R=.-., S=..., T=-, U=..-, V=...-, W=.--, X=-..-, Y=-.--, Z=--.., 0=-----, 1=.----, 2=..---, 3=...--, 4=....-, 5=....., 6=-...., 7=--..., 8=---.., 9=----., .=.-.-.-, ,=--..--, ?=..--.., '=.----., !=-.-.--, /=-..-., (=-.--., )=-.--.-, &=.-..., :=---..., ;=-.-.-., ==-...-, +=.-.-., -=-....-, _=..--.-, ""=.-..-., $=...-..-, @=.--.-.
 
 (A) BIGHT
 (B) DIGHT
 (C) LIGHT
 (D) EIGHT",/nas2/benchmarks/vpi/real/processed/morse/0004_pt1.mp4,morse,No,Attribute,Sequence,Sihyun,Symbolic decoding,Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What text message is encoded by the Morse light flashes? Use this Morse mapping: A=.-, B=-..., C=-.-., D=-.., E=., F=..-., G=--., H=...., I=.., J=.---, K=-.-, L=.-.., M=--, N=-., O=---, P=.--., Q=--.-, R=.-., S=..., T=-, U=..-, V=...-, W=.--, X=-..-, Y=-.--, Z=--.., 0=-----, 1=.----, 2=..---, 3=...--, 4=....-, 5=....., 6=-...., 7=--..., 8=---.., 9=----., .=.-.-.-, ,=--..--, ?=..--.., '=.----., !=-.-.--, /=-..-., (=-.--., )=-.--.-, &=.-..., :=---..., ;=-.-.-., ==-...-, +=.-.-., -=-....-, _=..--.-, ""=.-..-., $=...-..-, @=.--.-.
 
 (A) SHIFT
 (B) SHIRT
 (C) SHIRE
 (D) SHIRK",/nas2/benchmarks/vpi/real/processed/morse/0005_pt1.mp4,morse,No,Attribute,Sequence,Sihyun,Symbolic decoding,Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What text message is encoded by the Morse light flashes? Use this Morse mapping: A=.-, B=-..., C=-.-., D=-.., E=., F=..-., G=--., H=...., I=.., J=.---, K=-.-, L=.-.., M=--, N=-., O=---, P=.--., Q=--.-, R=.-., S=..., T=-, U=..-, V=...-, W=.--, X=-..-, Y=-.--, Z=--.., 0=-----, 1=.----, 2=..---, 3=...--, 4=....-, 5=....., 6=-...., 7=--..., 8=---.., 9=----., .=.-.-.-, ,=--..--, ?=..--.., '=.----., !=-.-.--, /=-..-., (=-.--., )=-.--.-, &=.-..., :=---..., ;=-.-.-., ==-...-, +=.-.-., -=-....-, _=..--.-, ""=.-..-., $=...-..-, @=.--.-.
 
 (A) CAPTOR
 (B) LAWTON
 (C) LACTOL
 (D) LAPTOP",/nas2/benchmarks/vpi/real/processed/morse/0006_pt1.mp4,morse,No,Attribute,Sequence,Sihyun,Symbolic decoding,Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What text message is encoded by the Morse light flashes? Use this Morse mapping: A=.-, B=-..., C=-.-., D=-.., E=., F=..-., G=--., H=...., I=.., J=.---, K=-.-, L=.-.., M=--, N=-., O=---, P=.--., Q=--.-, R=.-., S=..., T=-, U=..-, V=...-, W=.--, X=-..-, Y=-.--, Z=--.., 0=-----, 1=.----, 2=..---, 3=...--, 4=....-, 5=....., 6=-...., 7=--..., 8=---.., 9=----., .=.-.-.-, ,=--..--, ?=..--.., '=.----., !=-.-.--, /=-..-., (=-.--., )=-.--.-, &=.-..., :=---..., ;=-.-.-., ==-...-, +=.-.-., -=-....-, _=..--.-, ""=.-..-., $=...-..-, @=.--.-.
 
 (A) FABLE
 (B) TABLE
 (C) GABLE
 (D) CABLE",/nas2/benchmarks/vpi/real/processed/morse/0007_pt1.mp4,morse,No,Attribute,Sequence,Sihyun,Symbolic decoding,Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What text message is encoded by the Morse light flashes? Use this Morse mapping: A=.-, B=-..., C=-.-., D=-.., E=., F=..-., G=--., H=...., I=.., J=.---, K=-.-, L=.-.., M=--, N=-., O=---, P=.--., Q=--.-, R=.-., S=..., T=-, U=..-, V=...-, W=.--, X=-..-, Y=-.--, Z=--.., 0=-----, 1=.----, 2=..---, 3=...--, 4=....-, 5=....., 6=-...., 7=--..., 8=---.., 9=----., .=.-.-.-, ,=--..--, ?=..--.., '=.----., !=-.-.--, /=-..-., (=-.--., )=-.--.-, &=.-..., :=---..., ;=-.-.-., ==-...-, +=.-.-., -=-....-, _=..--.-, ""=.-..-., $=...-..-, @=.--.-.
 
 (A) BEIRA
 (B) ZABRA
 (C) BESRA
 (D) ZEBRA",/nas2/benchmarks/vpi/real/processed/morse/0008_pt1.mp4,morse,No,Attribute,Sequence,Sihyun,Symbolic decoding,Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What text message is encoded by the Morse light flashes? Use this Morse mapping: A=.-, B=-..., C=-.-., D=-.., E=., F=..-., G=--., H=...., I=.., J=.---, K=-.-, L=.-.., M=--, N=-., O=---, P=.--., Q=--.-, R=.-., S=..., T=-, U=..-, V=...-, W=.--, X=-..-, Y=-.--, Z=--.., 0=-----, 1=.----, 2=..---, 3=...--, 4=....-, 5=....., 6=-...., 7=--..., 8=---.., 9=----., .=.-.-.-, ,=--..--, ?=..--.., '=.----., !=-.-.--, /=-..-., (=-.--., )=-.--.-, &=.-..., :=---..., ;=-.-.-., ==-...-, +=.-.-., -=-....-, _=..--.-, ""=.-..-., $=...-..-, @=.--.-.
 
 (A) BAIERA
 (B) BAHERA
 (C) CAMARA
 (D) CAMERA",/nas2/benchmarks/vpi/real/processed/morse/0009_pt1.mp4,morse,No,Attribute,Sequence,Sihyun,Symbolic decoding,Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What text message is encoded by the Morse light flashes? Use this Morse mapping: A=.-, B=-..., C=-.-., D=-.., E=., F=..-., G=--., H=...., I=.., J=.---, K=-.-, L=.-.., M=--, N=-., O=---, P=.--., Q=--.-, R=.-., S=..., T=-, U=..-, V=...-, W=.--, X=-..-, Y=-.--, Z=--.., 0=-----, 1=.----, 2=..---, 3=...--, 4=....-, 5=....., 6=-...., 7=--..., 8=---.., 9=----., .=.-.-.-, ,=--..--, ?=..--.., '=.----., !=-.-.--, /=-..-., (=-.--., )=-.--.-, &=.-..., :=---..., ;=-.-.-., ==-...-, +=.-.-., -=-....-, _=..--.-, ""=.-..-., $=...-..-, @=.--.-.
 
 (A) COFFER
 (B) COFFEE
 (C) COFFLE
 (D) COFFEA",/nas2/benchmarks/vpi/real/processed/morse/0010_pt1.mp4,morse,No,Attribute,Sequence,Sihyun,Symbolic decoding,Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"Which two numbers on the number pad were not pressed? Answer with two numbers separated by a comma.
 
 (A) 5,7
 (B) 0,7
 (C) 1,7
 (D) 2,7",/nas2/benchmarks/vpi/real/processed/numberpad/0001_pt1.mp4,numberpad,No,Location,Set,Sihyun,"Action ambiguity, Symbolic decoding",Set,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"Which two numbers on the number pad were not pressed? Answer with two numbers separated by a comma.
 
 (A) 2,4
 (B) 1,4
 (C) 0,4
 (D) 3,4",/nas2/benchmarks/vpi/real/processed/numberpad/0002_pt1.mp4,numberpad,No,Location,Set,Sihyun,"Action ambiguity, Symbolic decoding",Set,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"Which two numbers on the number pad were not pressed? Answer with two numbers separated by a comma.
 
 (A) 5,9
 (B) 2,9
 (C) 1,9
 (D) 0,9",/nas2/benchmarks/vpi/real/processed/numberpad/0003_pt1.mp4,numberpad,No,Location,Set,Sihyun,"Action ambiguity, Symbolic decoding",Set,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"Which two numbers on the number pad were not pressed? Answer with two numbers separated by a comma.
 
 (A) 0,7
 (B) 0,1
 (C) 0,3
 (D) 0,2",/nas2/benchmarks/vpi/real/processed/numberpad/0004_pt1.mp4,numberpad,No,Location,Set,Sihyun,"Action ambiguity, Symbolic decoding",Set,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"Which two numbers on the number pad were not pressed? Answer with two numbers separated by a comma.
 
 (A) 4,6
 (B) 1,6
 (C) 0,6
 (D) 2,6",/nas2/benchmarks/vpi/real/processed/numberpad/0005_pt1.mp4,numberpad,No,Location,Set,Sihyun,"Action ambiguity, Symbolic decoding",Set,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"Which two numbers on the number pad were not pressed? Answer with two numbers separated by a comma.
 
 (A) 0,8
 (B) 1,2
 (C) 1,3
 (D) 1,8",/nas2/benchmarks/vpi/real/processed/numberpad/0006_pt1.mp4,numberpad,No,Location,Set,Sihyun,"Action ambiguity, Symbolic decoding",Set,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"Which two numbers on the number pad were not pressed? Answer with two numbers separated by a comma.
 
 (A) 0,9
 (B) 2,9
 (C) 1,9
 (D) 2,3",/nas2/benchmarks/vpi/real/processed/numberpad/0007_pt1.mp4,numberpad,No,Location,Set,Sihyun,"Action ambiguity, Symbolic decoding",Set,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"Which two numbers on the number pad were not pressed? Answer with two numbers separated by a comma.
 
 (A) 1,5
 (B) 0,5
 (C) 2,5
 (D) 3,5",/nas2/benchmarks/vpi/real/processed/numberpad/0008_pt1.mp4,numberpad,No,Location,Set,Sihyun,"Action ambiguity, Symbolic decoding",Set,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"Which two numbers on the number pad were not pressed? Answer with two numbers separated by a comma.
 
 (A) 7,8
 (B) 2,8
 (C) 1,8
 (D) 0,8",/nas2/benchmarks/vpi/real/processed/numberpad/0009_pt1.mp4,numberpad,No,Location,Set,Sihyun,"Action ambiguity, Symbolic decoding",Set,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
