,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IMPORTANT:
1->10->2->3->-4>...",,Revisit - new,,,Annotator,,,,,,,,,,,,,,,,,,,,,,,,Revisit
"At the end of the video, which position is the cup (that contains the smaller cup) in? Left, Center, or Right? Answer from the viewer's perspective.
 
 (A) Center
 (B) Right
 (C) Left",/nas2/benchmarks/vpi/real/processed/shell_game/0007_pt1.mp4,shell_game,No,Location,Atmoic,Sihyun,"Occlusion, Homogeneity",Continuous location,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"At the end of the video, which position is the cup (that contains the smaller cup) in? Left, Center, or Right? Answer from the viewer's perspective.
 
 (A) Center
 (B) Left
 (C) Right",/nas2/benchmarks/vpi/real/processed/shell_game/0008_pt1.mp4,shell_game,No,Location,Atmoic,Sihyun,"Occlusion, Homogeneity",Continuous location,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"At the end of the video, which position is the cup (that contains the smaller cup) in? Left, Center, or Right? Answer from the viewer's perspective.
 
 (A) Center
 (B) Right
 (C) Left",/nas2/benchmarks/vpi/real/processed/shell_game/0009_pt1.mp4,shell_game,No,Location,Atmoic,Sihyun,"Occlusion, Homogeneity",Continuous location,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"At the end of the video, which position is the cup (that contains the smaller cup) in? Left, Center, or Right? Answer from the viewer's perspective.
 
 (A) Right
 (B) Center
 (C) Left",/nas2/benchmarks/vpi/real/processed/shell_game/0010_pt1.mp4,shell_game,No,Location,Atmoic,Sihyun,"Occlusion, Homogeneity",Continuous location,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What word was typed on the keyboard?
 
 (A) engrapple
 (B) interpole
 (C) incapable
 (D) pineapple",/nas2/benchmarks/vpi/real/processed/keyboard/0001_pt1.mp4,keyboard,No,Location,Sequence,Sihyun,"Symbolic decoding, Action ambiguity",Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What word was typed on the keyboard?
 
 (A) egestion
 (B) questman
 (C) adustion
 (D) question",/nas2/benchmarks/vpi/real/processed/keyboard/0002_pt1.mp4,keyboard,No,Location,Sequence,Sihyun,"Symbolic decoding, Action ambiguity",Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What word was typed on the keyboard?
 
 (A) anatomize
 (B) customize
 (C) castorite
 (D) burtonize",/nas2/benchmarks/vpi/real/processed/keyboard/0003_pt1.mp4,keyboard,No,Location,Sequence,Sihyun,"Symbolic decoding, Action ambiguity",Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What word was typed on the keyboard?
 
 (A) chrismary
 (B) christmas
 (C) christiad
 (D) christian",/nas2/benchmarks/vpi/real/processed/keyboard/0004_pt1.mp4,keyboard,No,Location,Sequence,Sihyun,"Symbolic decoding, Action ambiguity",Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What word was typed on the keyboard?
 
 (A) staggard
 (B) standard
 (C) spaniard
 (D) standage",/nas2/benchmarks/vpi/real/processed/keyboard/0005_pt1.mp4,keyboard,No,Location,Sequence,Sihyun,"Symbolic decoding, Action ambiguity",Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What word was typed on the keyboard?
 
 (A) warplane
 (B) acrylate
 (C) airedale
 (D) airplane",/nas2/benchmarks/vpi/real/processed/keyboard/0006_pt1.mp4,keyboard,No,Location,Sequence,Sihyun,"Symbolic decoding, Action ambiguity",Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What word was typed on the keyboard?
 
 (A) monitor
 (B) ignitor
 (C) donator
 (D) genitor",/nas2/benchmarks/vpi/real/processed/keyboard/0007_pt1.mp4,keyboard,No,Location,Sequence,Sihyun,"Symbolic decoding, Action ambiguity",Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What word was typed on the keyboard?
 
 (A) stairless
 (B) smearcase
 (C) stairwise
 (D) staircase",/nas2/benchmarks/vpi/real/processed/keyboard/0008_pt1.mp4,keyboard,No,Location,Sequence,Sihyun,"Symbolic decoding, Action ambiguity",Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What word was typed on the keyboard?
 
 (A) bricking
 (B) drinking
 (C) chinking
 (D) blinking",/nas2/benchmarks/vpi/real/processed/keyboard/0009_pt1.mp4,keyboard,No,Location,Sequence,Sihyun,"Symbolic decoding, Action ambiguity",Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What word was typed on the keyboard?
 
 (A) inherence
 (B) deference
 (C) inference
 (D) imperence",/nas2/benchmarks/vpi/real/processed/keyboard/0010_pt1.mp4,keyboard,No,Location,Sequence,Sihyun,"Symbolic decoding, Action ambiguity",Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What text message is encoded by the Morse light flashes? Use this Morse mapping: A=.-, B=-..., C=-.-., D=-.., E=., F=..-., G=--., H=...., I=.., J=.---, K=-.-, L=.-.., M=--, N=-., O=---, P=.--., Q=--.-, R=.-., S=..., T=-, U=..-, V=...-, W=.--, X=-..-, Y=-.--, Z=--.., 0=-----, 1=.----, 2=..---, 3=...--, 4=....-, 5=....., 6=-...., 7=--..., 8=---.., 9=----., .=.-.-.-, ,=--..--, ?=..--.., '=.----., !=-.-.--, /=-..-., (=-.--., )=-.--.-, &=.-..., :=---..., ;=-.-.-., ==-...-, +=.-.-., -=-....-, _=..--.-, ""=.-..-., $=...-..-, @=.--.-.
 
 (A) ABELE
 (B) APPLY
 (C) AMPLE
 (D) APPLE",/nas2/benchmarks/vpi/real/processed/morse/0001_pt1.mp4,morse,No,Attribute,Sequence,Sihyun,Symbolic decoding,Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What text message is encoded by the Morse light flashes? Use this Morse mapping: A=.-, B=-..., C=-.-., D=-.., E=., F=..-., G=--., H=...., I=.., J=.---, K=-.-, L=.-.., M=--, N=-., O=---, P=.--., Q=--.-, R=.-., S=..., T=-, U=..-, V=...-, W=.--, X=-..-, Y=-.--, Z=--.., 0=-----, 1=.----, 2=..---, 3=...--, 4=....-, 5=....., 6=-...., 7=--..., 8=---.., 9=----., .=.-.-.-, ,=--..--, ?=..--.., '=.----., !=-.-.--, /=-..-., (=-.--., )=-.--.-, &=.-..., :=---..., ;=-.-.-., ==-...-, +=.-.-., -=-....-, _=..--.-, ""=.-..-., $=...-..-, @=.--.-.
 
 (A) BANABA
 (B) ANANAS
 (C) ANANDA
 (D) BANANA",/nas2/benchmarks/vpi/real/processed/morse/0002_pt1.mp4,morse,No,Attribute,Sequence,Sihyun,Symbolic decoding,Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What text message is encoded by the Morse light flashes? Use this Morse mapping: A=.-, B=-..., C=-.-., D=-.., E=., F=..-., G=--., H=...., I=.., J=.---, K=-.-, L=.-.., M=--, N=-., O=---, P=.--., Q=--.-, R=.-., S=..., T=-, U=..-, V=...-, W=.--, X=-..-, Y=-.--, Z=--.., 0=-----, 1=.----, 2=..---, 3=...--, 4=....-, 5=....., 6=-...., 7=--..., 8=---.., 9=----., .=.-.-.-, ,=--..--, ?=..--.., '=.----., !=-.-.--, /=-..-., (=-.--., )=-.--.-, &=.-..., :=---..., ;=-.-.-., ==-...-, +=.-.-., -=-....-, _=..--.-, ""=.-..-., $=...-..-, @=.--.-.
 
 (A) PHENE
 (B) PHONE
 (C) PHONY
 (D) PHONO",/nas2/benchmarks/vpi/real/processed/morse/0003_pt1.mp4,morse,No,Attribute,Sequence,Sihyun,Symbolic decoding,Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What text message is encoded by the Morse light flashes? Use this Morse mapping: A=.-, B=-..., C=-.-., D=-.., E=., F=..-., G=--., H=...., I=.., J=.---, K=-.-, L=.-.., M=--, N=-., O=---, P=.--., Q=--.-, R=.-., S=..., T=-, U=..-, V=...-, W=.--, X=-..-, Y=-.--, Z=--.., 0=-----, 1=.----, 2=..---, 3=...--, 4=....-, 5=....., 6=-...., 7=--..., 8=---.., 9=----., .=.-.-.-, ,=--..--, ?=..--.., '=.----., !=-.-.--, /=-..-., (=-.--., )=-.--.-, &=.-..., :=---..., ;=-.-.-., ==-...-, +=.-.-., -=-....-, _=..--.-, ""=.-..-., $=...-..-, @=.--.-.
 
 (A) LIGHT
 (B) EIGHT
 (C) DIGHT
 (D) BIGHT",/nas2/benchmarks/vpi/real/processed/morse/0004_pt1.mp4,morse,No,Attribute,Sequence,Sihyun,Symbolic decoding,Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What text message is encoded by the Morse light flashes? Use this Morse mapping: A=.-, B=-..., C=-.-., D=-.., E=., F=..-., G=--., H=...., I=.., J=.---, K=-.-, L=.-.., M=--, N=-., O=---, P=.--., Q=--.-, R=.-., S=..., T=-, U=..-, V=...-, W=.--, X=-..-, Y=-.--, Z=--.., 0=-----, 1=.----, 2=..---, 3=...--, 4=....-, 5=....., 6=-...., 7=--..., 8=---.., 9=----., .=.-.-.-, ,=--..--, ?=..--.., '=.----., !=-.-.--, /=-..-., (=-.--., )=-.--.-, &=.-..., :=---..., ;=-.-.-., ==-...-, +=.-.-., -=-....-, _=..--.-, ""=.-..-., $=...-..-, @=.--.-.
 
 (A) SHIRK
 (B) SHIRE
 (C) SHIRT
 (D) SHIFT",/nas2/benchmarks/vpi/real/processed/morse/0005_pt1.mp4,morse,No,Attribute,Sequence,Sihyun,Symbolic decoding,Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What text message is encoded by the Morse light flashes? Use this Morse mapping: A=.-, B=-..., C=-.-., D=-.., E=., F=..-., G=--., H=...., I=.., J=.---, K=-.-, L=.-.., M=--, N=-., O=---, P=.--., Q=--.-, R=.-., S=..., T=-, U=..-, V=...-, W=.--, X=-..-, Y=-.--, Z=--.., 0=-----, 1=.----, 2=..---, 3=...--, 4=....-, 5=....., 6=-...., 7=--..., 8=---.., 9=----., .=.-.-.-, ,=--..--, ?=..--.., '=.----., !=-.-.--, /=-..-., (=-.--., )=-.--.-, &=.-..., :=---..., ;=-.-.-., ==-...-, +=.-.-., -=-....-, _=..--.-, ""=.-..-., $=...-..-, @=.--.-.
 
 (A) CAPTOR
 (B) LAWTON
 (C) LAPTOP
 (D) LACTOL",/nas2/benchmarks/vpi/real/processed/morse/0006_pt1.mp4,morse,No,Attribute,Sequence,Sihyun,Symbolic decoding,Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What text message is encoded by the Morse light flashes? Use this Morse mapping: A=.-, B=-..., C=-.-., D=-.., E=., F=..-., G=--., H=...., I=.., J=.---, K=-.-, L=.-.., M=--, N=-., O=---, P=.--., Q=--.-, R=.-., S=..., T=-, U=..-, V=...-, W=.--, X=-..-, Y=-.--, Z=--.., 0=-----, 1=.----, 2=..---, 3=...--, 4=....-, 5=....., 6=-...., 7=--..., 8=---.., 9=----., .=.-.-.-, ,=--..--, ?=..--.., '=.----., !=-.-.--, /=-..-., (=-.--., )=-.--.-, &=.-..., :=---..., ;=-.-.-., ==-...-, +=.-.-., -=-....-, _=..--.-, ""=.-..-., $=...-..-, @=.--.-.
 
 (A) FABLE
 (B) GABLE
 (C) TABLE
 (D) CABLE",/nas2/benchmarks/vpi/real/processed/morse/0007_pt1.mp4,morse,No,Attribute,Sequence,Sihyun,Symbolic decoding,Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What text message is encoded by the Morse light flashes? Use this Morse mapping: A=.-, B=-..., C=-.-., D=-.., E=., F=..-., G=--., H=...., I=.., J=.---, K=-.-, L=.-.., M=--, N=-., O=---, P=.--., Q=--.-, R=.-., S=..., T=-, U=..-, V=...-, W=.--, X=-..-, Y=-.--, Z=--.., 0=-----, 1=.----, 2=..---, 3=...--, 4=....-, 5=....., 6=-...., 7=--..., 8=---.., 9=----., .=.-.-.-, ,=--..--, ?=..--.., '=.----., !=-.-.--, /=-..-., (=-.--., )=-.--.-, &=.-..., :=---..., ;=-.-.-., ==-...-, +=.-.-., -=-....-, _=..--.-, ""=.-..-., $=...-..-, @=.--.-.
 
 (A) ZABRA
 (B) BEIRA
 (C) BESRA
 (D) ZEBRA",/nas2/benchmarks/vpi/real/processed/morse/0008_pt1.mp4,morse,No,Attribute,Sequence,Sihyun,Symbolic decoding,Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What text message is encoded by the Morse light flashes? Use this Morse mapping: A=.-, B=-..., C=-.-., D=-.., E=., F=..-., G=--., H=...., I=.., J=.---, K=-.-, L=.-.., M=--, N=-., O=---, P=.--., Q=--.-, R=.-., S=..., T=-, U=..-, V=...-, W=.--, X=-..-, Y=-.--, Z=--.., 0=-----, 1=.----, 2=..---, 3=...--, 4=....-, 5=....., 6=-...., 7=--..., 8=---.., 9=----., .=.-.-.-, ,=--..--, ?=..--.., '=.----., !=-.-.--, /=-..-., (=-.--., )=-.--.-, &=.-..., :=---..., ;=-.-.-., ==-...-, +=.-.-., -=-....-, _=..--.-, ""=.-..-., $=...-..-, @=.--.-.
 
 (A) CAMARA
 (B) BAIERA
 (C) BAHERA
 (D) CAMERA",/nas2/benchmarks/vpi/real/processed/morse/0009_pt1.mp4,morse,No,Attribute,Sequence,Sihyun,Symbolic decoding,Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"What text message is encoded by the Morse light flashes? Use this Morse mapping: A=.-, B=-..., C=-.-., D=-.., E=., F=..-., G=--., H=...., I=.., J=.---, K=-.-, L=.-.., M=--, N=-., O=---, P=.--., Q=--.-, R=.-., S=..., T=-, U=..-, V=...-, W=.--, X=-..-, Y=-.--, Z=--.., 0=-----, 1=.----, 2=..---, 3=...--, 4=....-, 5=....., 6=-...., 7=--..., 8=---.., 9=----., .=.-.-.-, ,=--..--, ?=..--.., '=.----., !=-.-.--, /=-..-., (=-.--., )=-.--.-, &=.-..., :=---..., ;=-.-.-., ==-...-, +=.-.-., -=-....-, _=..--.-, ""=.-..-., $=...-..-, @=.--.-.
 
 (A) COFFEE
 (B) COFFER
 (C) COFFEA
 (D) COFFLE",/nas2/benchmarks/vpi/real/processed/morse/0010_pt1.mp4,morse,No,Attribute,Sequence,Sihyun,Symbolic decoding,Sequence,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"Which two numbers on the number pad were not pressed? Answer with two numbers separated by a comma.
 
 (A) 0,7
 (B) 1,7
 (C) 5,7
 (D) 2,7",/nas2/benchmarks/vpi/real/processed/numberpad/0001_pt1.mp4,numberpad,No,Location,Set,Sihyun,"Action ambiguity, Symbolic decoding",Set,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"Which two numbers on the number pad were not pressed? Answer with two numbers separated by a comma.
 
 (A) 2,4
 (B) 1,4
 (C) 0,4
 (D) 3,4",/nas2/benchmarks/vpi/real/processed/numberpad/0002_pt1.mp4,numberpad,No,Location,Set,Sihyun,"Action ambiguity, Symbolic decoding",Set,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"Which two numbers on the number pad were not pressed? Answer with two numbers separated by a comma.
 
 (A) 5,9
 (B) 0,9
 (C) 2,9
 (D) 1,9",/nas2/benchmarks/vpi/real/processed/numberpad/0003_pt1.mp4,numberpad,No,Location,Set,Sihyun,"Action ambiguity, Symbolic decoding",Set,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"Which two numbers on the number pad were not pressed? Answer with two numbers separated by a comma.
 
 (A) 0,7
 (B) 0,3
 (C) 0,2
 (D) 0,1",/nas2/benchmarks/vpi/real/processed/numberpad/0004_pt1.mp4,numberpad,No,Location,Set,Sihyun,"Action ambiguity, Symbolic decoding",Set,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"Which two numbers on the number pad were not pressed? Answer with two numbers separated by a comma.
 
 (A) 2,6
 (B) 0,6
 (C) 4,6
 (D) 1,6",/nas2/benchmarks/vpi/real/processed/numberpad/0005_pt1.mp4,numberpad,No,Location,Set,Sihyun,"Action ambiguity, Symbolic decoding",Set,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"Which two numbers on the number pad were not pressed? Answer with two numbers separated by a comma.
 
 (A) 1,2
 (B) 1,3
 (C) 1,8
 (D) 0,8",/nas2/benchmarks/vpi/real/processed/numberpad/0006_pt1.mp4,numberpad,No,Location,Set,Sihyun,"Action ambiguity, Symbolic decoding",Set,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"Which two numbers on the number pad were not pressed? Answer with two numbers separated by a comma.
 
 (A) 2,3
 (B) 0,9
 (C) 1,9
 (D) 2,9",/nas2/benchmarks/vpi/real/processed/numberpad/0007_pt1.mp4,numberpad,No,Location,Set,Sihyun,"Action ambiguity, Symbolic decoding",Set,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"Which two numbers on the number pad were not pressed? Answer with two numbers separated by a comma.
 
 (A) 2,5
 (B) 0,5
 (C) 3,5
 (D) 1,5",/nas2/benchmarks/vpi/real/processed/numberpad/0008_pt1.mp4,numberpad,No,Location,Set,Sihyun,"Action ambiguity, Symbolic decoding",Set,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"Which two numbers on the number pad were not pressed? Answer with two numbers separated by a comma.
 
 (A) 0,8
 (B) 7,8
 (C) 1,8
 (D) 2,8",/nas2/benchmarks/vpi/real/processed/numberpad/0009_pt1.mp4,numberpad,No,Location,Set,Sihyun,"Action ambiguity, Symbolic decoding",Set,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
